iter	Passed	Remaining
0	0	21
1	0	21
2	0	21
3	0	19
4	1	20
5	1	20
6	1	20
7	1	20
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	3	18
14	3	18
15	3	17
16	3	17
17	3	17
18	4	17
19	4	17
20	4	16
21	4	16
22	4	16
23	5	16
24	5	16
25	5	15
26	5	15
27	6	15
28	6	15
29	6	15
30	6	14
31	6	14
32	7	14
33	7	14
34	7	14
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	9	13
42	9	12
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	10
52	12	10
53	12	10
54	12	10
55	12	9
56	12	9
57	13	9
58	13	9
59	13	8
60	13	8
61	13	8
62	14	8
63	14	8
64	14	7
65	14	7
66	14	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	18	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	20	1
94	20	1
95	21	0
96	21	0
97	21	0
98	21	0
99	22	0
